reaction_id,log2fc,p_value,subsystem,flux_cond1,flux_cond2
APCS,0.1236,0.31,Arginine and Proline Metabolism,5.8006,6.3194
CBLAT,0.7385,0.284,Cofactor and Prosthetic Group Biosynthesis,4.1864,6.9845
CBMD,-0.6266,0.166,Nucleotide Salvage Pathway,7.1555,4.6346
CBMKr,0.9453,0.184,Unassigned,8.1974,15.7849
CBPS,-0.5892,0.448,Arginine and Proline Metabolism,5.5431,3.6845
ASPt2pp_copy2,0.0773,0.755,"Transport, Inner Membrane",4.1215,4.3483
ASPtex,0.4223,0.168,"Transport, Outer Membrane Porin",7.3005,9.7828
ASR,0.4266,0.294,Inorganic Ion Transport and Metabolism,9.0191,12.1224
AST,0.978,0.275,Arginine and Proline Metabolism,3.508,6.9098
ATHRDHr,-0.2387,0.415,Threonine and Lysine Metabolism,8.402,7.1206
ATPHs,-1.1046,0.0216,Nucleotide Salvage Pathway,8.4792,3.9432
ATPM,1.0774,0.351,Biomass and maintenance functions,3.0511,6.4386
CCGS,-0.1456,0.505,Cofactor and Prosthetic Group Biosynthesis,4.9787,4.5006
CD2abcpp,-0.3913,0.41,Inorganic Ion Transport and Metabolism,7.2529,5.53
CD2t3pp,-0.0611,0.85,Inorganic Ion Transport and Metabolism,5.8769,5.6334
CD2tex,0.1256,0.298,"Transport, Outer Membrane Porin",0.6955,0.7588
ATPPRT,-0.6436,0.555,Histidine Metabolism,7.3594,4.711
APG3PAT120,-0.0809,0.729,Glycerophospholipid Metabolism,6.3069,5.9629
ATPS4rpp,-1.9602,2.98e-06,Oxidative Phosphorylation,2.175,0.5589
BALAt2pp,0.0682,0.346,"Transport, Inner Membrane",7.3977,7.7555
BALAtex,1.0779,0.129,"Transport, Outer Membrane Porin",8.3139,17.5503
BETALDHx,-0.6235,0.417,Unassigned,3.4691,2.2519
CD2tpp,0.371,0.238,Inorganic Ion Transport and Metabolism,3.893,5.0347
CDAPPA120,0.9084,0.335,Glycerophospholipid Metabolism,12.0161,22.5538
CDAPPA140,-0.1271,0.758,Glycerophospholipid Metabolism,2.6286,2.4069
CDAPPA141,0.1004,0.881,Glycerophospholipid Metabolism,2.1388,2.2928
CDAPPA160,0.9236,0.28,Glycerophospholipid Metabolism,4.6393,8.8003
CDAPPA161,1.3556,0.264,Glycerophospholipid Metabolism,2.5025,6.404
CDAPPA180,-0.4948,0.366,Glycerophospholipid Metabolism,8.3267,5.909
CDAPPA181,0.347,0.439,Glycerophospholipid Metabolism,6.8108,8.6629
CDGR,-0.4796,0.464,Cofactor and Prosthetic Group Biosynthesis,5.5084,3.9506
BETALDHy,-0.3637,0.483,Unassigned,2.4817,1.9287
BMOCOS,0.4101,0.329,Cofactor and Prosthetic Group Biosynthesis,1.0028,1.3324
BMOGDS1,-0.4464,0.392,Cofactor and Prosthetic Group Biosynthesis,8.5451,6.271
BMOGDS2,0.024,0.408,Cofactor and Prosthetic Group Biosynthesis,6.4849,6.5935
BPNT,0.8605,0.467,Cysteine Metabolism,5.964,10.8284
BSORx,0.0779,0.484,Cofactor and Prosthetic Group Biosynthesis,4.7839,5.0493
BSORy,0.2396,0.504,Cofactor and Prosthetic Group Biosynthesis,6.4389,7.6021
CDGS,0.845,0.257,Cofactor and Prosthetic Group Biosynthesis,0.5519,0.9913
CDPMEK,0.1872,0.386,Cofactor and Prosthetic Group Biosynthesis,9.9809,11.364
BTNt2ipp,-0.2396,0.217,"Transport, Inner Membrane",9.3138,7.8887
APG3PAT140,-0.3548,0.48,Glycerophospholipid Metabolism,3.3303,2.6043
BTNtex,0.3493,0.505,"Transport, Outer Membrane Porin",7.0904,9.033
BTS5,-0.1701,0.573,Cofactor and Prosthetic Group Biosynthesis,5.5605,4.942
BUTCT,0.4725,0.494,Alternate Carbon Metabolism,2.7252,3.7813
CFAS160E,0.4912,0.434,Glycerophospholipid Metabolism,0.7192,1.0108
CFAS160G,-0.2891,0.339,Glycerophospholipid Metabolism,4.4164,3.6145
CFAS180E,0.3987,0.499,Glycerophospholipid Metabolism,4.5917,6.0534
BUTSO3abcpp,0.3527,0.263,"Transport, Inner Membrane",6.5155,8.3197
BUTSO3tex,-0.0666,0.799,"Transport, Outer Membrane Porin",6.1313,5.8547
CFAS180G,-0.3414,0.577,Glycerophospholipid Metabolism,11.4456,9.0336
APG3PAT141,0.5071,0.231,Glycerophospholipid Metabolism,3.2177,4.5731
CGLYabcpp,0.4297,0.189,"Transport, Inner Membrane",6.0835,8.1942
CGLYtex,0.6887,0.191,"Transport, Outer Membrane Porin",5.8226,9.3847
CHLabcpp,0.1165,0.47,"Transport, Inner Membrane",3.3944,3.6799
CHLt2pp,0.2805,0.466,"Transport, Inner Membrane",3.6862,4.4774
CHLtex,0.3771,0.42,"Transport, Outer Membrane Porin",5.3509,6.9496
BUTt2rpp,-0.4283,0.238,"Transport, Inner Membrane",4.2004,3.1216
BUTtex,0.7124,0.149,"Transport, Outer Membrane Porin",8.2695,13.5495
BWCOGDS1,1.1767,0.173,Cofactor and Prosthetic Group Biosynthesis,4.7099,10.6474
BWCOGDS2,0.4301,0.306,Cofactor and Prosthetic Group Biosynthesis,7.7137,10.3926
BWCOS,0.6566,0.281,Cofactor and Prosthetic Group Biosynthesis,7.461,11.761
CA2t3pp,0.2008,0.235,Inorganic Ion Transport and Metabolism,6.8892,7.9179
CA2tex,0.3745,0.492,"Transport, Outer Membrane Porin",8.5489,11.0827
CADVtpp,0.2047,0.339,"Transport, Inner Membrane",2.8854,3.3252
CHOLD,0.3268,0.255,Unassigned,10.9624,13.7494
CHORM,0.803,0.289,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",2.372,4.1385
CHORS,-0.2501,0.639,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",4.5742,3.8461
CHRPL,1.3463,0.0897,Cofactor and Prosthetic Group Biosynthesis,9.9324,25.2544
CHTBSptspp,-0.6422,0.291,"Transport, Inner Membrane",0.8985,0.5757
CHTBStex,0.6315,0.185,"Transport, Outer Membrane Porin",1.3607,2.108
CINNDO,-0.9054,0.276,Alternate Carbon Metabolism,4.1516,2.2164
CITL,-1.1917,0.000546,Citric Acid Cycle,3.5865,1.5702
CLt3_2pp,0.6801,0.197,Inorganic Ion Transport and Metabolism,7.9338,12.7116
CITt3pp,0.0952,0.534,"Transport, Inner Membrane",8.7691,9.3675
APG3PAT160,-0.2794,0.529,Glycerophospholipid Metabolism,6.8638,5.6552
CITt7pp,-0.023,0.333,"Transport, Inner Membrane",6.5414,6.4381
CITtex,-0.4903,0.171,"Transport, Outer Membrane Porin",6.3928,4.5509
CLtex,0.5389,0.151,"Transport, Outer Membrane Porin",4.1192,5.9845
CMPN,0.3588,0.161,Nucleotide Salvage Pathway,6.7205,8.6182
CMPtex,1.082,0.0721,"Transport, Outer Membrane Porin",6.8403,14.4812
CLIPAabctex,-0.4311,0.368,Lipopolysaccharide Biosynthesis / Recycling,8.2277,6.1023
APG3PAT161,0.4288,0.531,Glycerophospholipid Metabolism,3.0085,4.0497
CLPNH120pp,-0.3586,0.615,Glycerophospholipid Metabolism,1.8608,1.4513
CLPNH140pp,-0.1008,0.561,Glycerophospholipid Metabolism,6.838,6.3765
CLPNH141pp,0.3063,0.498,Glycerophospholipid Metabolism,2.124,2.6264
CMtex,1.1382,0.128,"Transport, Outer Membrane Porin",1.5815,3.4809
CMtpp,0.1161,0.472,"Transport, Outer Membrane",0.7046,0.7637
CO2tex,0.402,0.364,"Transport, Outer Membrane Porin",11.0224,14.5639
CLPNH160pp,0.401,0.681,Glycerophospholipid Metabolism,4.7176,6.2294
CO2tpp,0.5405,0.232,"Transport, Inner Membrane",9.8755,14.3641
COBALT2abcpp,0.6776,0.156,Inorganic Ion Transport and Metabolism,1.5137,2.4211
COBALT2t3pp,0.4219,0.376,Inorganic Ion Transport and Metabolism,3.262,4.37
COBALT2tex,-0.3154,0.5,"Transport, Outer Membrane Porin",1.4554,1.1696
CLPNH161pp,0.7239,0.48,Glycerophospholipid Metabolism,9.7648,16.1277
CLPNH180pp,0.4435,0.507,Glycerophospholipid Metabolism,2.4927,3.3899
CLPNH181pp,0.1183,0.84,Glycerophospholipid Metabolism,1.6642,1.8065
CLPNS120pp,-0.6803,0.204,Glycerophospholipid Metabolism,5.1706,3.2267
CLPNS140pp,-0.2373,0.272,Glycerophospholipid Metabolism,5.9154,5.0183
COBALT2tpp,0.0893,0.325,Inorganic Ion Transport and Metabolism,4.9362,5.2514
APG3PAT180,0.3733,0.408,Glycerophospholipid Metabolism,4.6573,6.0326
COLIPAKpp,-0.019,0.848,Lipopolysaccharide Biosynthesis / Recycling,4.2985,4.2422
CLPNS141pp,-0.2089,0.326,Glycerophospholipid Metabolism,5.2829,4.5707
CLPNS160pp,-0.3339,0.508,Glycerophospholipid Metabolism,9.1208,7.2365
APG3PAT181,-0.0734,0.732,Glycerophospholipid Metabolism,6.1635,5.8578
CLPNS161pp,0.0013,0.58,Glycerophospholipid Metabolism,8.3956,8.4031
COLIPAPabctex,-1.181,0.363,Lipopolysaccharide Biosynthesis / Recycling,2.0364,0.8981
COLIPAabcpp,0.3333,0.571,Lipopolysaccharide Biosynthesis / Recycling,3.543,4.4639
APH120,-0.4209,0.432,Glycerophospholipid Metabolism,0.5988,0.4472
COLIPAabctex,0.5567,0.593,Lipopolysaccharide Biosynthesis / Recycling,3.4891,5.1319
CLPNS180pp,-0.8618,0.251,Glycerophospholipid Metabolism,5.8904,3.2413
APH140,0.0897,0.67,Glycerophospholipid Metabolism,8.8005,9.3653
CLPNS181pp,-1.0607,0.412,Glycerophospholipid Metabolism,4.8972,2.3477
CPGNR1,0.1049,0.459,Inorganic Ion Transport and Metabolism,5.597,6.0191
APH141,0.5542,0.331,Glycerophospholipid Metabolism,9.8185,14.4169
APH160,-0.4102,0.457,Glycerophospholipid Metabolism,0.8255,0.6212
CPGNR2,0.6879,0.186,Inorganic Ion Transport and Metabolism,3.1297,5.0416
CPGNR3,0.6382,0.249,Inorganic Ion Transport and Metabolism,4.4258,6.888
APH161,0.4017,0.473,Glycerophospholipid Metabolism,5.5489,7.3303
CYANSTpp,1.295,0.0868,Inorganic Ion Transport and Metabolism,2.3917,5.8688
CPGNUtex,0.7733,0.13,Inorganic Ion Transport and Metabolism,8.0841,13.8173
APH180,0.7512,0.495,Glycerophospholipid Metabolism,7.8198,13.1626
APH181,-0.672,0.336,Glycerophospholipid Metabolism,6.5992,4.142
CPGNUtpp,0.1804,0.575,Inorganic Ion Transport and Metabolism,6.1396,6.9575
APPLDHr,-0.0796,0.474,Threonine and Lysine Metabolism,2.638,2.4964
CPGNabcpp,0.6839,0.196,"Transport, Inner Membrane",4.9504,7.953
CPGNexs,1.4251,0.0677,Inorganic Ion Transport and Metabolism,8.0926,21.7318
CPGNtonex,-0.2217,0.282,"Transport, Outer Membrane",4.5247,3.8803
CPH4S,0.6091,0.262,Cofactor and Prosthetic Group Biosynthesis,8.8463,13.4936
CPMPS,-0.233,0.326,Cofactor and Prosthetic Group Biosynthesis,7.9925,6.8007
CYANtex,0.6553,0.128,"Transport, Outer Membrane Porin",1.4536,2.2892
CYNTAH,-0.1718,0.559,Nitrogen Metabolism,6.2697,5.566
CYNTt2pp,-0.0559,0.85,"Transport, Inner Membrane",5.7478,5.5292
CYNTtex,0.1477,0.546,"Transport, Outer Membrane Porin",2.313,2.5623
CYSDDS,-0.15,0.578,Cysteine Metabolism,4.0915,3.6876
CYSDS,-0.3852,0.426,Cysteine Metabolism,3.6887,2.8243
CYSDabcpp,-0.1609,0.668,"Transport, Inner Membrane",1.6023,1.4333
CYSDtex,0.4756,0.381,"Transport, Outer Membrane Porin",7.7796,10.8172
CYSS,0.1962,0.311,Cysteine Metabolism,5.7467,6.5839
CYSSADS,-0.0513,0.531,Cysteine Metabolism,6.8433,6.6044
CPPPGO,-0.2126,0.508,Cofactor and Prosthetic Group Biosynthesis,5.2404,4.5224
CPPPGO2,0.0505,0.378,Cofactor and Prosthetic Group Biosynthesis,2.6004,2.6931
CRNBTCT,-1.8177,3.51e-06,Oxidative Phosphorylation,4.7773,1.3552
CRNCAL2,-1.724,1.03e-05,Oxidative Phosphorylation,8.212,2.4858
CRNCAR,-1.5583,1.84e-05,Oxidative Phosphorylation,3.192,1.0839
CRNCBCT,-2.3464,2.86e-06,Oxidative Phosphorylation,2.8634,0.563
CYSTL,0.4541,0.655,Methionine Metabolism,1.6981,2.3263
APRAUR,0.3604,0.302,Cofactor and Prosthetic Group Biosynthesis,2.0989,2.6944
CYSTRS,0.2343,0.483,tRNA Charging,5.209,6.1275
CYSabc2pp,0.5523,0.232,"Transport, Inner Membrane",5.9051,8.6593
CRNCDH,-2.4572,1.31e-06,Oxidative Phosphorylation,12.8569,2.3413
CRNDCAL2,-3.0246,1.73e-06,Oxidative Phosphorylation,3.834,0.4711
ARAI,0.3385,0.666,Alternate Carbon Metabolism,2.2779,2.8803
CRNDabcpp,0.7731,0.152,"Transport, Inner Membrane",6.202,10.5989
CYSabcpp,1.018,0.0949,"Transport, Inner Membrane",2.7015,5.471
CYStex,-0.0153,0.36,"Transport, Outer Membrane Porin",3.0334,3.0015
ARBTNR1,0.5499,0.124,Inorganic Ion Transport and Metabolism,4.8654,7.1227
CYStpp,1.3445,0.0501,"Transport, Inner Membrane",6.8912,17.5002
CYTBD2pp,-1.8828,2.21e-06,Oxidative Phosphorylation,2.0594,0.5584
CYTBDpp,-2.081,2.76e-06,Oxidative Phosphorylation,4.7269,1.1172
CYTBO3_4pp,-1.868,2.55e-06,Oxidative Phosphorylation,2.7013,0.74
CYTD,-0.2561,0.217,Nucleotide Salvage Pathway,6.2177,5.2064
CRNDt2rpp,0.298,0.353,"Transport, Inner Membrane",3.0483,3.7476
CRNDtex,1.1864,0.0683,"Transport, Outer Membrane Porin",8.2656,18.8112
CRNabcpp,1.1795,0.0978,"Transport, Inner Membrane",5.8668,13.2879
CRNt2rpp,-0.6254,0.177,"Transport, Inner Membrane",5.1362,3.3294
CRNt7pp,0.658,0.197,"Transport, Inner Membrane",0.1825,0.288
CYTDH,0.0234,0.65,Alternate Carbon Metabolism,2.5878,2.63
CRNt8pp,0.165,0.521,"Transport, Inner Membrane",4.3852,4.9166
CYTDK2,-0.0311,0.868,Nucleotide Salvage Pathway,2.9997,2.9356
ARBTNR2,-0.3303,0.215,Inorganic Ion Transport and Metabolism,7.1987,5.7258
CYTDt2pp_copy1,0.4711,0.319,"Transport, Inner Membrane",4.9809,6.9044
CRNtex,-0.6551,0.291,"Transport, Outer Membrane Porin",6.7554,4.29
CS,-0.556,0.0281,Citric Acid Cycle,1.684,1.1455
CSND,-0.3407,0.241,Nucleotide Salvage Pathway,5.2736,4.1642
CYTDt2pp_copy2,-0.2425,0.548,"Transport, Inner Membrane",0.1893,0.16
CYTDtex,0.3032,0.262,"Transport, Outer Membrane Porin",1.6998,2.0973
CSNt2pp,0.472,0.23,"Transport, Inner Membrane",10.0214,13.8999
ARBTNR3,1.0394,0.113,Inorganic Ion Transport and Metabolism,7.0709,14.5332
CSNtex,0.0398,0.435,"Transport, Outer Membrane Porin",1.9985,2.0544
CTBTCAL2,-1.7596,9.4e-06,Oxidative Phosphorylation,4.4827,1.3239
CTBTabcpp,0.2569,0.274,"Transport, Inner Membrane",4.7388,5.6625
CYTK1,-1.3278,0.00874,Nucleotide Salvage Pathway,11.1967,4.4606
CYTK2,0.1077,0.434,Nucleotide Salvage Pathway,3.765,4.0568
D_LACt2pp,0.2272,0.546,"Transport, Inner Membrane",1.2213,1.4296
D_LACtex,1.3899,0.0491,"Transport, Outer Membrane Porin",5.6683,14.854
CTBTt2rpp,0.6496,0.28,"Transport, Inner Membrane",2.1443,3.3637
CTECOAI6,1.0902,0.0602,Membrane Lipid Metabolism,6.5686,13.9848
ARBTNabcpp,-0.1196,0.332,"Transport, Inner Membrane",10.2596,9.4431
CTECOAI7,0.3937,0.302,Membrane Lipid Metabolism,4.8848,6.4174
CTECOAI8,0.4066,0.139,Membrane Lipid Metabolism,9.6277,12.7624
DAAD,-0.6331,0.267,Alanine and Aspartate Metabolism,6.7822,4.3731
DADA,-0.856,0.0625,Nucleotide Salvage Pathway,9.4373,5.2141
DADK,-0.739,0.102,Nucleotide Salvage Pathway,4.5978,2.7548
DADNt2pp,-0.4535,0.152,"Transport, Inner Membrane",5.5915,4.0835
DADNtex,0.4336,0.308,"Transport, Outer Membrane",4.6388,6.2651
DAGK120,-0.3762,0.292,Glycerophospholipid Metabolism,6.295,4.8502
CTPS2,0.0244,0.411,Purine and Pyrimidine Biosynthesis,10.5761,10.7566
CU1Opp,-0.671,0.157,Inorganic Ion Transport and Metabolism,8.4445,5.3038
CU1abcpp,0.4581,0.237,Inorganic Ion Transport and Metabolism,3.8776,5.327
CU2abcpp,0.1639,0.313,Inorganic Ion Transport and Metabolism,5.8257,6.5267
CU2tex,-0.1836,0.231,"Transport, Outer Membrane Porin",3.6718,3.2331
DAGK140,-0.0009,0.576,Glycerophospholipid Metabolism,7.4303,7.4259
ARBTNexs,-0.2545,0.548,Inorganic Ion Transport and Metabolism,3.9985,3.3518
DAGK141,0.4711,0.436,Glycerophospholipid Metabolism,1.1702,1.6221
DAGK160,0.401,0.439,Glycerophospholipid Metabolism,3.9212,5.1776
CU2tpp,0.7909,0.241,Inorganic Ion Transport and Metabolism,6.809,11.7804
CUt3,0.7661,0.161,"Transport, Outer Membrane",4.8039,8.17
CUtex,0.3272,0.459,"Transport, Outer Membrane Porin",8.4895,10.6509
DAGK161,-0.3326,0.749,Glycerophospholipid Metabolism,14.3885,11.4262
ARBTNtex,0.2957,0.215,"Transport, Outer Membrane",3.4437,4.2269
DAGK180,1.4251,0.265,Glycerophospholipid Metabolism,3.6043,9.6787
DAGK181,-0.0319,0.836,Glycerophospholipid Metabolism,7.3821,7.2204
CYANST,0.3394,0.333,Unassigned,8.1333,10.2908
DALAt2pp,0.7226,0.253,"Transport, Inner Membrane",10.8673,17.9323
ARBTNtonex,-0.1163,0.364,"Transport, Outer Membrane",3.3104,3.0539
DALAtex,0.5427,0.195,"Transport, Outer Membrane Porin",5.8834,8.5701
DAMPtex,0.7266,0.117,"Transport, Outer Membrane Porin",6.0203,9.9622
DCYTt2pp,-0.1307,0.736,"Transport, Inner Membrane",0.9677,0.8839
ARBTNtpp,0.8431,0.195,Inorganic Ion Transport and Metabolism,9.8928,17.7464
DCYTtex,0.9343,0.164,"Transport, Outer Membrane",2.3191,4.4318
DDCAtexi,0.3992,0.396,"Transport, Outer Membrane",4.293,5.6613
DAPAL,0.7817,0.417,Alternate Carbon Metabolism,0.7284,1.2522
DAPDC,-0.5105,0.465,Threonine and Lysine Metabolism,5.9463,4.1742
DAPE,-0.4416,0.62,Threonine and Lysine Metabolism,7.0527,5.1929
DAPabcpp,0.1607,0.576,"Transport, Inner Membrane",1.9562,2.1867
DDGALK,0.8874,0.337,Alternate Carbon Metabolism,6.4992,12.0226
DDGLCNt2rpp,-0.8657,0.105,"Transport, Inner Membrane",11.9737,6.5708
DDGLCNtex,0.4914,0.339,"Transport, Outer Membrane Porin",13.466,18.9308
DDGLK,-0.0556,0.846,Alternate Carbon Metabolism,9.9327,9.5569
DDPA,-0.3321,0.387,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",3.5667,2.8334
DAPtex,-0.2754,0.588,"Transport, Outer Membrane Porin",4.7672,3.9388
DASYN120,-0.6283,0.338,Glycerophospholipid Metabolism,8.4316,5.4546
DASYN140,0.1996,0.798,Glycerophospholipid Metabolism,5.36,6.1555
DASYN141,-0.7345,0.333,Glycerophospholipid Metabolism,7.4514,4.4784
DASYN160,0.2091,0.619,Glycerophospholipid Metabolism,7.6725,8.8693
DDPGALA,-0.5888,0.419,Alternate Carbon Metabolism,4.3926,2.9206
DGK1,-1.5796,0.00511,Nucleotide Salvage Pathway,7.6521,2.5601
DGMPtex,0.2407,0.572,"Transport, Outer Membrane Porin",6.0735,7.1761
DASYN161,-0.3882,0.254,Glycerophospholipid Metabolism,9.7208,7.4273
ARBTptspp,0.2988,0.314,"Transport, Inner Membrane",3.6421,4.4803
DASYN180,-0.4771,0.597,Glycerophospholipid Metabolism,7.8218,5.6194
DASYN181,0.7979,0.418,Glycerophospholipid Metabolism,2.8026,4.8726
DGSNt2pp,0.7615,0.145,"Transport, Inner Membrane",3.5987,6.1005
DGSNtex,0.898,0.174,"Transport, Outer Membrane Porin",6.544,12.1951
DHACOAH,0.6074,0.485,Alternate Carbon Metabolism,6.6817,10.1793
DATPHs,-0.9999,0.057,Nucleotide Salvage Pathway,5.8449,2.9226
DB4PS,0.2244,0.359,Cofactor and Prosthetic Group Biosynthesis,4.1904,4.8956
DHAD1,-0.5611,0.499,"Valine, Leucine, and Isoleucine Metabolism",5.2697,3.5717
ARBTtex,0.1043,0.377,"Transport, Outer Membrane Porin",7.094,7.6259
DHAD2,-0.9256,0.342,"Valine, Leucine, and Isoleucine Metabolism",8.1968,4.3154
DHAPT,0.1238,0.383,Alternate Carbon Metabolism,8.412,9.1655
DBTS,0.3967,0.506,Cofactor and Prosthetic Group Biosynthesis,8.756,11.5272
DC6PH,0.6289,0.577,Alternate Carbon Metabolism,1.2636,1.954
DCAtex,0.2726,0.55,"Transport, Outer Membrane Porin",5.8226,7.0334
DHAtex,0.501,0.187,"Transport, Outer Membrane Porin",4.2974,6.0815
ARBabcpp,0.1523,0.369,"Transport, Inner Membrane",10.3991,11.5568
DHAtpp,1.1833,0.0537,"Transport, Inner Membrane",10.9248,24.8103
DHBD,0.6843,0.223,Cofactor and Prosthetic Group Biosynthesis,1.8447,2.9642
DHBS,0.0351,0.532,Cofactor and Prosthetic Group Biosynthesis,6.145,6.2962
DHBSH,0.2233,0.289,Cofactor and Prosthetic Group Biosynthesis,2.8862,3.3694
DHCIND,-0.3386,0.358,Alternate Carbon Metabolism,0.1852,0.1464
DCMPtex,0.1348,0.456,"Transport, Outer Membrane Porin",2.0931,2.2981
DCTPD,-0.8613,0.0866,Nucleotide Salvage Pathway,6.7284,3.7037
DCYTD,-1.2032,0.032,Nucleotide Salvage Pathway,2.2651,0.9838
DHCINDO,-0.0971,0.429,Alternate Carbon Metabolism,4.187,3.9144
ARBt2rpp,0.4256,0.183,"Transport, Inner Membrane",5.5605,7.4682
DHDPRy,-0.3477,0.419,Threonine and Lysine Metabolism,1.2533,0.9849
DHDPS,0.1574,0.566,Threonine and Lysine Metabolism,4.735,5.2807
ARBt3ipp,1.4788,0.0662,"Transport, Inner Membrane",3.7309,10.3986
DHFR,-0.184,0.66,Cofactor and Prosthetic Group Biosynthesis,1.0682,0.9403
DHFS,0.7018,0.218,Cofactor and Prosthetic Group Biosynthesis,6.9539,11.3106
FFSD,1.1858,0.396,Alternate Carbon Metabolism,0.9115,2.0736
ARBtex,0.3181,0.262,"Transport, Outer Membrane Porin",3.0209,3.7661
DNMPPA,0.0793,0.3,Cofactor and Prosthetic Group Biosynthesis,4.8695,5.1447
DHMPTR,0.6315,0.266,Cofactor and Prosthetic Group Biosynthesis,4.4003,6.817
DHNAOT4,0.5332,0.369,Cofactor and Prosthetic Group Biosynthesis,4.5133,6.5314
DHNCOAS,-0.6002,0.35,Cofactor and Prosthetic Group Biosynthesis,3.3872,2.2343
DNTPPA,0.5291,0.226,Cofactor and Prosthetic Group Biosynthesis,0.6745,0.9734
ARGAGMt7pp,0.632,0.199,"Transport, Inner Membrane",5.0662,7.8513
DOGULNR,1.0074,0.264,Alternate Carbon Metabolism,2.4918,5.0093
DHNCOAT,0.3499,0.529,Cofactor and Prosthetic Group Biosynthesis,6.6907,8.5273
DHNPA2r,1.0261,0.131,Cofactor and Prosthetic Group Biosynthesis,0.6056,1.2333
DOPAtex,0.3488,0.358,"Transport, Outer Membrane Porin",1.6914,2.154
ARGDC,0.6031,0.306,Arginine and Proline Metabolism,8.0181,12.1796
DHNPTE,0.568,0.364,Cofactor and Prosthetic Group Biosynthesis,3.7883,5.6163
DOXRBCNtex,1.2571,0.102,"Transport, Outer Membrane Porin",5.6822,13.581
ARGDCpp,-0.8261,0.345,Arginine and Proline Metabolism,0.5353,0.3019
DOXRBCNtpp,-1.024,0.0733,"Transport, Outer Membrane",5.74,2.8227
DHORD2,0.7908,0.251,Purine and Pyrimidine Biosynthesis,8.2827,14.3291
ARGORNt7pp,0.8694,0.19,"Transport, Inner Membrane",2.1258,3.8837
DHORD5,0.0286,0.706,Purine and Pyrimidine Biosynthesis,1.2717,1.2972
DHORDfum,-0.1784,0.331,Purine and Pyrimidine Biosynthesis,0.6847,0.6051
DHORTS,0.1669,0.695,Purine and Pyrimidine Biosynthesis,7.9683,8.9453
DHPPD,-0.3137,0.522,Alternate Carbon Metabolism,7.2437,5.828
DPCOAK,0.2075,0.242,Cofactor and Prosthetic Group Biosynthesis,5.5888,6.4534
DPR,0.0938,0.56,Cofactor and Prosthetic Group Biosynthesis,8.9249,9.5241
DRPA,-0.0667,0.647,Alternate Carbon Metabolism,6.177,5.8977
DSBAO1,-0.064,0.773,Unassigned,1.0447,0.9994
DHPPDA2,0.3335,0.276,Cofactor and Prosthetic Group Biosynthesis,5.3537,6.7458
ARGSL,-0.3049,0.545,Arginine and Proline Metabolism,1.6314,1.3206
DHPS2,0.4256,0.256,Cofactor and Prosthetic Group Biosynthesis,5.2383,7.0357
DHPTDCs2,-0.0894,0.846,Methionine Metabolism,6.1878,5.8162
DSBAO2,0.1196,0.795,Unassigned,4.3688,4.7465
DSBCGT,-0.4082,0.437,Unassigned,1.5259,1.1499
DSBDR,0.7269,0.286,Unassigned,8.7676,14.511
DHPTDNR,-0.0696,0.423,Alternate Carbon Metabolism,6.6452,6.3321
DHPTDNRN,0.5957,0.229,Alternate Carbon Metabolism,7.4335,11.2334
ARGSS,0.9095,0.311,Arginine and Proline Metabolism,1.1524,2.1647
DHPTPE,0.7715,0.315,Cofactor and Prosthetic Group Biosynthesis,7.9331,13.5425
DHQS,-0.3338,0.566,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",2.8012,2.2225
DSBGGT,-1.2346,0.14,Unassigned,7.4893,3.1827
DSERDHr,0.4136,0.638,Glycine and Serine Metabolism,3.7082,4.9393
DSERt2pp,0.2874,0.237,"Transport, Inner Membrane",9.4417,11.5228
DSERtex,-0.2326,0.357,"Transport, Outer Membrane Porin",6.749,5.7441
DHQTi,-0.1521,0.764,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",5.5298,4.9766
ARGTRS,0.0975,0.713,tRNA Charging,1.1402,1.2199
DIMPtex,-0.327,0.499,"Transport, Outer Membrane Porin",7.1427,5.694
DINSt2pp,0.1925,0.296,"Transport, Inner Membrane",4.7898,5.4735
DTARTD,0.728,0.34,Alternate Carbon Metabolism,8.7364,14.47
ARGabcpp,-0.1994,0.269,"Transport, Inner Membrane",5.9519,5.1836
DTMPK,-1.0833,0.0443,Nucleotide Salvage Pathway,8.4783,4.0012
DINStex,-0.6997,0.172,"Transport, Outer Membrane Porin",8.4992,5.2331
DKGLCNR1,-0.1251,0.415,Alternate Carbon Metabolism,14.402,13.2056
DTMPtex,0.4192,0.369,"Transport, Outer Membrane Porin",3.9384,5.2664
ARGt3pp,-0.88,0.0777,"Transport, Inner Membrane",5.6121,3.0495
DUMPtex,1.0298,0.06,"Transport, Outer Membrane Porin",5.6441,11.5241
DURADx,-0.3162,0.35,Nucleotide Salvage Pathway,6.2871,5.0497
DURIK1,0.0338,0.667,Nucleotide Salvage Pathway,8.1174,8.3099
DURIPP,-0.7856,0.0596,Nucleotide Salvage Pathway,1.702,0.9873
DURIt2pp,-0.0453,0.857,"Transport, Inner Membrane",3.4191,3.3135
DURItex,1.3821,0.0495,"Transport, Outer Membrane",7.8115,20.3606
